id	filename	md5	size	state
1b466557-76dd-4a26-9df4-49172400fb40	486778af-8f8e-4000-9812-409604e274a5.FPKM.txt.gz	c725d3fd3566b67710637a97da059572	550816	released
17097dc0-c3db-4340-b62b-9567842d5594	9c38ed5a-076d-4ef9-ab1f-39814bf665b3.FPKM.txt.gz	70afb1f3d6cfc202dbff78d8a25d00cb	512738	released
428df85b-2242-4925-8743-23c2c58990c2	2eb359c8-470a-47b4-a448-eb45df341862.FPKM.txt.gz	f5cb676dbc2421cba0daaccfd70d280a	516929	released
55d710a9-a177-4f8b-89e4-68fe7faf0700	12a40f0f-e59b-4fd7-9e11-76cb27caa528.FPKM.txt.gz	25fcee2f3590fecfbb60571e78809c1b	493950	released
b8cbbb57-67f9-4167-ab99-13e622899f67	72be1685-3a9d-4b60-ac6e-59ef11cfd652.FPKM.txt.gz	320fe2880e36eae1434f22e6c883295e	522710	released
056a99cb-53ab-4146-9277-33caeb9d1a02	25bfcac0-ba7b-41cb-8343-34bb425857aa.FPKM.txt.gz	90e64d1ba9171ca3a18baa3ed1db91c6	498889	released
69270759-de76-45fd-bd12-ada996c4d9aa	e6ab235f-c889-4f82-9086-1fb34e08fc63.FPKM.txt.gz	ad1a91287e71a67d4613a069f7de4241	505697	released
c5b30be6-a19c-464d-917a-f521a86459e5	9face56d-5a4c-44a7-9ab5-9dd35bad5bad.FPKM.txt.gz	0e81399786f590be4f8a6c040356af6c	509718	released
392e66b7-26a2-49d6-9ecb-b46a49178128	ed0f20d3-f5e6-4b69-99a2-50d281e6e86a.FPKM.txt.gz	6c7a4244ae037c28e9b868b44e8836f9	507712	released
2bda5428-0422-4cc5-b1ef-8cd0f251f549	b6ed2c21-8f41-46d0-9ccb-68f54ecd46f3.FPKM.txt.gz	1d12a7d8c008688ffd4ef4ac2fca335f	523636	released
a3a2b16c-d166-4f3a-87a5-07e76032e967	60f2990e-3b0d-43b7-ab3b-19d545039154.FPKM.txt.gz	e3364214c45a54f76c32db24b9df66f8	519222	released
a5c7fcc9-db41-42b8-8406-8e6fe780f12a	31a7a535-c256-4c8e-bbef-597571b134d6.FPKM.txt.gz	81c83382ee8c40ca9ae827fe6c9f8079	533701	released
61707d4f-3c8f-42c9-9d63-b3df41065199	0143419f-2abe-4906-bb55-af6010fab05f.FPKM.txt.gz	97129353aa62b65e01ab7252631a53e6	511116	released
8a641a5f-af44-4691-a6b4-58a4e7f2c55c	4a173a7e-b734-412d-8519-a2a6f6d33d89.FPKM.txt.gz	a2d66a9db84fc5ddebe4d5dd8d4a98b1	508808	released
159208f7-3ef7-465e-b24a-51fff52d0608	6367a8f1-ab21-4c13-aa24-a5f41ff0a7f5.FPKM.txt.gz	083ca5b9e88b477cc8fd0ac10dd5964c	536758	released
8577ad66-1a2d-41df-99c8-ba6b4a5399ac	2e33a2c5-2196-49c4-866a-34b12d984c15.FPKM.txt.gz	8235f4a52239fe40439028f713e515c0	508395	released
ef7a3708-77d9-4ad7-a5b3-917bda3990e3	47c3ea44-2768-49c3-ae7c-b4f2acfe4a72.FPKM.txt.gz	5bc9ca1b27bf6482703af90098404ba0	587237	released
1f4e831a-5d7e-48a9-a1fc-5bf9f0f18fd4	3a8adea5-5520-41de-aed8-dfce2d52386e.FPKM.txt.gz	9851b4080d147947115a1fa57b161da2	515541	released
f74192b2-375b-41bd-840d-b46dc85e1191	f6afb2d5-8209-4f3c-9639-3ee6f62c1aee.FPKM.txt.gz	8dd5b6c62972366d068600d9f6fdbfed	511618	released
fe086cda-5e71-4538-83f0-b644f59c2dbd	283ff342-6b2b-4670-92c8-f157253ff378.FPKM.txt.gz	fa668f8d51ca1c0f52caed6adf10120a	510656	released
ac47e067-73ff-4d7d-8891-dad6f0567fb9	c6a74afc-ae00-4b2e-8e62-324ee979f68d.FPKM.txt.gz	a41ba9fe00ef8ac3be0270587abc7fd7	496839	released
105b7dbd-2687-49c1-8856-c11e4b39ba04	d5ed2249-5c62-4590-a758-2f4e7dc46998.FPKM.txt.gz	2ce4f51d335696329588607cf9c4f4c1	529930	released
7eca3712-ecf7-4242-aafb-eeefc765d855	5e3ca744-5dec-4d3f-93a2-9f13bab86784.FPKM.txt.gz	b580d4aba446fc1b960a3d5092e48ffb	506912	released
a0c73146-5ad5-42eb-9b5a-3a7f898a8eb1	3db994fd-0eaf-4b2b-80bc-5c60c2d3cf6f.FPKM.txt.gz	92478666e36d23581d3d8d218e428a59	522880	released
e03f8bdc-d3e3-4dc5-8c2c-21e7cc97e41b	eff2d9bb-5bfd-451b-94f9-37080e4611ec.FPKM.txt.gz	3d93596dd671a90a9fa5ee6afd801d7d	513616	released
411a07ae-6bf8-4494-b499-cdb5d06d16c5	0a923c09-5f30-4e5c-adef-baca0c461227.FPKM.txt.gz	20110cd3c3c22ae2d9f5aa197088ddb3	509395	released
c574bec0-13a3-4f86-a91f-a20758c2ebfd	b50ac187-7079-4b52-b872-f815521fc164.FPKM.txt.gz	8284e81f54c6585988b4f4ff8486d46d	512992	released
47998d6a-a07a-4e9b-9ec1-e8e9a29ce384	1f1a15a7-99a1-49dd-b604-51a90fb42647.FPKM.txt.gz	e232c6689a70e9a7e8401878aea95747	553508	released
cd8aab1d-ac6f-4025-939d-e6448e6798bc	ede52976-0412-4878-a28e-1b1b39316e0f.FPKM.txt.gz	23963e6cad386863f47a8afdffb863a9	564623	released
ea71c832-451b-4ce2-8d37-c7a99919a2d6	5caebbab-6edb-473a-bb4e-2adc62afad46.FPKM.txt.gz	0a78faeb6b704c5985157265424fff34	579293	released
66484288-d8b7-4a8b-8792-097d664ea1d7	9cda6be2-572b-4208-8656-d142335f614e.FPKM.txt.gz	6279d40400d6bb53b377531e1360c4b9	513758	released
118b49a1-4651-414d-8d20-721fb71e8fcf	f2f003c0-9758-47fb-838a-aa0b5c1535cb.FPKM.txt.gz	bc5f8a8f126b894966f74705a922f761	569450	released
9e0d4730-cee2-4f76-9245-be03cbcca011	69b3d09c-31f7-4738-b473-e3b53f4ae015.FPKM.txt.gz	5c953e4e459ed6fe3f146f21ab29e373	302498	released
e1dade85-8d1b-43f4-9817-e2130127b121	2d1b9ff2-cb0f-40d5-8ba6-ec9b6d499454.FPKM.txt.gz	a6b6fb5e411a151b2234a9e1ba59ad68	299726	released
d25a07f9-21a5-4c88-bdd8-2edaea954526	c86a2dcc-a534-43d4-9cab-36e5699ff16b.FPKM.txt.gz	c322c5d735545dde7b9bfbafa28a2f0b	308435	released
504bfaaf-041e-4ea9-a124-41d43de52852	45c05a56-5ed4-41c6-8350-bbca3d3f7088.FPKM.txt.gz	726f086c077b51e2ae7998de399c9a3d	309641	released
434fd9b0-5435-418b-b080-ae43fc03d81f	e89efde0-153c-48ec-8da1-06b845ce4a85.FPKM.txt.gz	15af0cda61c765d88cb95b33d9db59e2	307568	released
3cb8ad4b-6a80-438e-aaa8-5e66ece18362	42d87b71-c38a-44e8-9a5f-619696a5fa4f.FPKM.txt.gz	fc6c67201f2ca9649d95bf3213b4f06a	305400	released
58a295db-22a1-431b-91ee-e8cd270f970f	0151099e-a3b1-4866-9c97-52b80efddb16.FPKM.txt.gz	30b7418d03ef823aabac03ce49b3a682	295342	released
02b99e10-6be0-42fc-8729-71b8de6beb12	0dfc6315-7cd1-470f-8047-fe6b977e8e22.FPKM.txt.gz	6ca453ccb9537bf9762f36361697e857	296988	released
8e6efca5-58c4-4c4b-9350-8ea815afb060	2808cd1e-f0cd-405b-a252-e48820ddf5a5.FPKM.txt.gz	34896b38de7aa6f00a3d234d9e6e3d76	307003	released
d1c1946d-9c4a-4a52-965c-941ae68ec308	c139902d-1296-488d-b44f-44c4b7369e14.FPKM.txt.gz	6e667ae203d7ddd65c0a416f7ea1bf82	300740	released
9502398b-ce9f-4f11-a848-59c3129ab576	80e1838d-9af4-4040-9cac-6d9cf3fba888.FPKM.txt.gz	64792c95c4663611d912b4ad69fa2e7b	303731	released
37a27931-bbdd-41e3-ad59-643a1a99f279	a3756ee8-ba9c-407f-bae7-691759bff240.FPKM.txt.gz	cbdd5c030618a1fb6fb1a7bb19439e3b	313611	released
0b16a9c7-cd03-4542-a617-96f8a0dca51c	3b6d8eda-8ab6-4829-91a6-6b3bf516772b.FPKM.txt.gz	1b2a0ce396a7826356af1e319fc712ae	304919	released
57b6ab3f-82c5-4511-9cad-685684a0c100	7328aad8-8f63-447c-8fe3-9dc6c5e26863.FPKM.txt.gz	2be4c5f4b600b4acd9063032b82f37dc	294064	released
d2683ec7-1de2-4960-a06c-5adbdf8f1d1e	7049c696-4998-4cae-b55d-de6b9fb8fedc.FPKM.txt.gz	0fd1621418b5b8abfee49f2c84a67327	301741	released
